,month,tas,tas_pi,model,period,region,co2_exp,tas_anom,tas_obs,error,mae
0,1,20.338068670512143,16.45474169909403,NorESM1-F,eocene,global,2.0,3.8833269714181142,,,
1,1,23.232597910001516,16.45474169909403,NorESM1-F,eocene,global,4.0,6.777856210907487,,,
2,1,22.737868728287935,13.780135175721853,GFDL-CM2.1,eocene,global,2.0,8.957733552566083,,,
3,1,27.64940045082028,13.780135175721853,GFDL-CM2.1,eocene,global,4.0,13.869265275098428,,,
4,1,25.480528915343882,13.780135175721853,GFDL-CM2.1,eocene,global,3.0,11.70039373962203,,,
5,1,30.390417048849997,13.780135175721853,GFDL-CM2.1,eocene,global,6.0,16.610281873128145,,,
6,1,18.72056311632224,13.780135175721853,GFDL-CM2.1,eocene,global,1.0,4.940427940600387,,,
7,1,19.56829257349864,11.014568802057966,MIROC4m,eocene,global,2.0,8.553723771440673,,,
8,1,22.8818215008572,11.014568802057966,MIROC4m,eocene,global,3.0,11.867252698799234,,,
9,1,15.519508620580325,11.014568802057966,MIROC4m,eocene,global,1.0,4.5049398185223595,,,
10,1,26.02921714083749,11.825803216383292,COSMOS-landveg-r2413,eocene,global,4.0,14.203413924454196,,,
11,1,24.16140485002967,11.825803216383292,COSMOS-landveg-r2413,eocene,global,3.0,12.335601633646377,,,
12,1,15.228638495169491,11.825803216383292,COSMOS-landveg-r2413,eocene,global,1.0,3.402835278786199,,,
13,1,22.615412953329496,11.099673400897188,INM-CM4-8,eocene,global,6.0,11.515739552432308,,,
14,1,20.089288330078148,10.673638916015648,HadCM3BL-M2.1aN,eocene,global,2.0,9.4156494140625,,,
15,1,25.187432861328148,10.673638916015648,HadCM3BL-M2.1aN,eocene,global,3.0,14.5137939453125,,,
16,1,15.774011230468773,10.673638916015648,HadCM3BL-M2.1aN,eocene,global,1.0,5.100372314453125,,,
17,1,20.309655761718773,11.780969238281273,HadCM3B-M2.1aN,eocene,global,2.0,8.5286865234375,,,
18,1,24.224511718750023,11.780969238281273,HadCM3B-M2.1aN,eocene,global,3.0,12.44354248046875,,,
19,1,16.393121337890648,11.780969238281273,HadCM3B-M2.1aN,eocene,global,1.0,4.612152099609375,,,
20,1,24.452270258381873,11.113007746959624,CESM1.2-CAM5,eocene,global,3.0,13.339262511422248,,,
21,1,29.235974713033556,11.113007746959624,CESM1.2-CAM5,eocene,global,6.0,18.122966966073932,,,
22,1,17.470964275585345,11.113007746959624,CESM1.2-CAM5,eocene,global,1.0,6.357956528625721,,,
23,1,35.05880678678426,11.113007746959624,CESM1.2-CAM5,eocene,global,9.0,23.945799039824635,,,
24,1,18.521630859375023,11.140405273437523,IPSLCM5A2,eocene,global,1.5,7.3812255859375,,,
25,1,24.401513671875023,11.140405273437523,IPSLCM5A2,eocene,global,3.0,13.2611083984375,,,
26,1,17.207575796415824,21.63153932468373,NorESM1-F,eocene,northern_hemisphere,2.0,-4.423963528267905,,,
27,1,20.270158347583447,21.63153932468373,NorESM1-F,eocene,northern_hemisphere,4.0,-1.361380977100282,,,
28,1,16.46087928403074,7.635756659610081,GFDL-CM2.1,eocene,northern_hemisphere,2.0,8.825122624420658,,,
29,1,21.66475889748574,7.635756659610081,GFDL-CM2.1,eocene,northern_hemisphere,4.0,14.029002237875659,,,
